date,quantity
01-12-2019,16883
01-01-2020,18156
01-02-2020,14543
01-03-2020,9969
01-04-2020,294
01-05-2020,2315
01-06-2020,6507
01-07-2020,12531
01-08-2020,13564
01-09-2020,17710
01-10-2020,17879
01-11-2020,15802
01-12-2020,17354
01-01-2021,15503
01-02-2021,17735
01-03-2021,17650
01-04-2021,15549
01-05-2021,8445
01-06-2021,9374
01-07-2021,12418
01-08-2021,13404
01-09-2021,12524
01-10-2021,14085
01-11-2021,12729
01-12-2021,13494
01-01-2022,12645
01-02-2022,14669
01-03-2022,15263
01-04-2022,14218
01-05-2022,14609
01-06-2022,14462
01-07-2022,14731
01-08-2022,15030
01-09-2022,17750
01-10-2022,15437
01-11-2022,16418
